key,subject,group
TC1028,Computational Thinking for Engineering,8
TC1033,Object Oriented Computational Thinking,1
TC1027,Business Programming,4
TC1001B,Principles of Programming for Social Sciences,1
TC1031,Data Structures and Fundamental Algorithms Programming,1
TC1032,Minimum Systems Modeling and Fundamental Architecture,1
TC1004B,Implementation of Internet of Things,1
TI1015,Software Requirements Analysis,1
TC2038,Advanced Algorithms Analysis and Design,1
TC2007B,Integration of Information Security in Networks and Software Systems,1
TC2008B,Multi-agent Systems Modeling with Computer Graphics,1
