key,subject,group
TC1030,Object Oriented Programming,1
TC2005B,Software Construction and Decision Making,1
TC2006B,Device Interconnection,1
TC2037,Implementation of Computational Methods,1
TC1002B,Technological Tools for Social Sciences,1
TC3004B,Software Systems Planning,1
TC3005B,Development and Implementation of Software Systems,1
TI3005B,Digital Transformation of Civil Society Organizations,1
TC3002B,Development of Advanced Applications of Computational Sciences,1
TC3003B,Implementation of Wide Area Networks and Distributed Services,1
