key,subject,Victor Manon,Juan Alvarado,Roberto Leyva,Mauricio Paletta,Yerly Flores,Jaime Lopez,Jorge Rodriguez,Jose Aguilera,Luis Guadarrama,Pedro Hernandez,Maria Mirafuentes,Roberto Vera,Octavio Silva,Fernando Ruiz,Ivan Olmos,Israel Tabarez
TC1027,Business Programming,,X,X,X,,X,,X,,X,,X,,,,
TC1028,Computational Thinking for Engineering,X,X,X,X,X,,,X,,X,,X,,,,
TC1029,Computational Thinking and Programming,X,X,X,X,,,,X,,X,,X,,,,
TC1030,Object Oriented Programming,X,,,X,,,,,,,,,,,,
TC1031,Data Structures and Fundamental Algorithms Programming,X,X,X,X,,,,X,,,,,,,,
TC1032,Minimum Systems Modeling and Fundamental Architectures,,,,,X,,X,,,,,,,X,,X
TC1033,Object Oriented Computational Thinking,X,,,X,,,,,,,,,,,,
TC2037,Implementation of Computational Methods,,X,,,,,,X,,X,,,,,,
TC2038,Advanced Algorithms Analysis and Design,,X,,X,,,,X,,,,,,,,
TI1015,Software Requirements Analysis,,X,X,,,,,X,X,X,X,X,,,,
